what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1368356264442
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1368356264442
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1368356264443
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1368356264443
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1368356264443
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1368356264443
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ant",1368356264443
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1368356264443
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1368356264443
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1368356264443
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1368356264443
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxb.core",1368356264443
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1368356264443
stopped,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1368356264443
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1368356264443
stopped,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1368356264443
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.103.v201102260635,"org.eclipse.wst.command.env.ui",1368356264443
stopped,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1368356264443
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0.webkit,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted.2_0.webkit",1368356264443
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted.2_0",1368356264443
stopped,bundle,org.eclipse.emf.mwe2.language.ui,2.2.0.v201112071250,"org.eclipse.emf.mwe2.language.ui",1368356264443
stopped,bundle,org.eclipse.xtext.purexbase.ui,2.2.1.v201112130541,"org.eclipse.xtext.purexbase.ui",1368356264443
stopped,bundle,org.eclipse.xtext.purexbase,2.2.1.v201112130541,"org.eclipse.xtext.purexbase",1368356264444
stopped,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.2.1.v201112130541,"org.eclipse.xtext.ui.codetemplates.ui",1368356264444
stopped,bundle,org.eclipse.xtext.ui.codetemplates,2.2.1.v201112130541,"org.eclipse.xtext.ui.codetemplates",1368356264444
stopped,bundle,org.eclipse.xtext.xbase.ui,2.2.1.v201112130541,"org.eclipse.xtext.xbase.ui",1368356264444
stopped,bundle,org.eclipse.xtext.xtend2,2.2.1.v201112130541,"org.eclipse.xtext.xtend2",1368356264444
stopped,bundle,org.eclipse.xtext.xbase,2.2.1.v201112130541,"org.eclipse.xtext.xbase",1368356264444
stopped,bundle,org.eclipse.emf.mwe2.language,2.2.0.v201112071250,"org.eclipse.emf.mwe2.language",1368356264444
stopped,bundle,org.eclipse.xtext.common.types.shared,2.2.1.v201112130541,"org.eclipse.xtext.common.types.shared",1368356264444
stopped,bundle,org.eclipse.xtext.ui.ecore,2.2.1.v201112130541,"org.eclipse.xtext.ui.ecore",1368356264444
stopped,bundle,org.eclipse.xtext.xtext.ui.graph,2.2.1.v201112130541,"org.eclipse.xtext.xtext.ui.graph",1368356264444
stopped,bundle,org.eclipse.xtext.ui.shared,2.2.1.v201112130541,"org.eclipse.xtext.ui.shared",1368356264444
stopped,bundle,org.eclipse.xtext.builder,2.2.1.v201112130541,"org.eclipse.xtext.builder",1368356264444
stopped,bundle,org.eclipse.xtext.common.types.ui,2.2.1.v201112130541,"org.eclipse.xtext.common.types.ui",1368356264444
stopped,bundle,org.eclipse.xtext.ui.junit,2.2.1.v201112130541,"org.eclipse.xtext.ui.junit",1368356264444
stopped,bundle,org.eclipse.xtext.generator,2.2.1.v201112130541,"org.eclipse.xtext.generator",1368356264444
stopped,bundle,org.eclipse.xtext.common.types,2.2.1.v201112130541,"org.eclipse.xtext.common.types",1368356264444
stopped,bundle,org.eclipse.xtext.ecore,2.2.1.v201112130541,"org.eclipse.xtext.ecore",1368356264444
stopped,bundle,org.eclipse.xtext.ui,2.2.1.v201112130541,"org.eclipse.xtext.ui",1368356264444
stopped,bundle,org.eclipse.xtext,2.2.1.v201112130541,"org.eclipse.xtext",1368356264444
stopped,bundle,org.eclipse.emf.mwe.core,1.2.1.v201112070431,"org.eclipse.emf.mwe.core",1368356264444
stopped,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1368356264445
stopped,bundle,org.eclipse.mylyn.ide.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ui",1368356264445
stopped,bundle,org.eclipse.mylyn.resources.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.resources.ui",1368356264445
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20130125-0826,"org.eclipse.emf.importer.ecore",1368356264445
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20130125-0826,"org.eclipse.emf.importer.java",1368356264445
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20130125-0826,"org.eclipse.emf.importer.rose",1368356264445
stopped,bundle,org.eclipse.emf.ant,2.7.0.v20130125-0826,"org.eclipse.emf.ant",1368356264445
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1368819833051
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1368819833052
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1368819833052
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1368819833052
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1368819833052
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1368819833052
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1368819833052
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1368819833052
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1368819833052
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1368819833052
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1368819833052
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1368819833052
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1368819833052
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1368819833052
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1368819833052
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1368819833052
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1368819833052
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1368819833052
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1368819833052
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1368819833052
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1368819833052
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1368819833052
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1368819833052
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1368819833052
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1368819833052
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1368819833052
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1368819833052
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1368819833052
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1368819833052
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1368819833052
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1368819833052
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1368819833052
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1368819833052
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1368819833052
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1368819833052
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1368819833053
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1368819833053
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1368819833053
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1368819833053
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1368819833053
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1368819833053
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1368819833053
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1368819833053
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1368819833053
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1368819833053
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1368819833053
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1368819833053
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1368819833053
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1368819833053
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1368819833053
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1368819833053
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1368819833053
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1368819833053
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1368819833053
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1368819833053
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1368819833053
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1368819833053
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1368819833053
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1368819833053
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1368819833053
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1368819833053
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1368819833053
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1368819833053
